artist_name,track_name,release_date,genre,lyrics
The Isley Brothers,Shout,1959,soul,"Shout 
Shout 
Let it all out 
These are the things I can do without 
Come on 
I'm talking to you 
Come on 
Shout 
Shout 
Let it all out 
These are the things I can do without 
Come on 
I'm talking to you 
Come on 
In violent times 
You shouldn't have to sell your soul 
In black and white 
They really, really ought to know 
Those one track minds 
That took you for a working boy 
Kiss them goodbye 
You shouldn't have to jump for joy 
You shouldn't have to jump for joy 
Shout 
Shout 
Let it all out 
These are the things I can do without 
Come on 
I'm talking to you 
Come on 
They gave you life 
And in return you gave them hell 
As cold as ice 
I hope we live to tell the tale 
I hope we live to tell the tale 
Shout 
Shout 
Let it all out 
These are the things I can do without 
Come on 
I'm talking to you 
Come on 
Shout 
Shout 
Let it all out 
These are the things I can do without 
Come on 
I'm talking to you 
Come on 
Shout 
Shout 
Let it all out (let it all out) 
These are the things I can do without 
Come on 
I'm talking to you 
Come on 
And when you've taken down your guard 
If I could change your mind 
I'd really love to break your heart 
I'd really love to break your heart 
Shout 
Shout 
Let it all out 
These are the things I can do without 
(I'd really love to break your heart) come on 
I'm talking to you 
Come on 
Shout 
Shout 
Let it all out 
These are the things I can do without 
Come on 
I'm talking to you 
Come on 
Shout 
Shout 
Let it all out 
These are the things I can do without 
Come on 
I'm talking to you 
Come on 
(They really, really ought to know) 
Shout 
Shout 
Let it all out 
(They really, really ought to know) 
These are the things I can do without 
(They really, really...) Come on 
I'm talking to you 
(They really, really ought to know) come on 
Shout 
Shout 
Let it all out 
(I'd really love to break your heart) 
These are the things I can do without 
(I'd really love to break your heart) come on 
I'm talking to you 
Come on 
Shout 
Shout 
Let it all out 
These are the things I can do without 
Come on"
Sam Cooke,A Change Is Gonna Come,1964,soul,"I was born by the river 
In a little tent 
Oh, and just like the river, I've been running 
Ever since 
It's been a long 
A long time coming, but I know 
A change gon' come 
Oh yes, it will 
It's been too hard living 
But I'm afraid to die 
'Cause I don't know what's up there 
Beyond the sky 
It's been a long 
A long time coming, but I know 
A change gon' come 
Oh yes, it will 
I go to the movie 
And I go downtown 
And somebody keep telling me 
""Don't hang around"" 
It's been a long 
A long time coming, but I know 
A change gon' come 
Oh yes, it will 
Then, I go to my brother 
And I say, ""Brother, help me, please"" 
But he winds up knockin' me 
Back down on my knees, oh 
There been times that I thought 
I couldn't last for long 
But now, I think I'm able 
To carry on 
It's been a long 
A long time coming, but I know 
A change gon' come 
Oh yes, it will"
Wilson Pickett,In the Midnight Hour,1965,soul,"I'm gonna wait 'til the midnight hour 
That's when my love come tumbling down 
I'm gonna wait 'til the midnight hour 
When there's no one else around 
I'm gonna take you, girl, and hold you 
And do all things I told you, in the midnight hour 
Yes I am, oh, yes I am 
One more thing I just wanna say right here 
I'm gonna wait 'til the stars come out 
And see that twinkle in your eyes 
I'm gonna wait 'til the midnight hour 
That's when my love begins to shine 
You're the only girl I know 
That really love me so, in the midnight hour 
Oh yeah, in the midnight hour 
Yeah, alright, play it for me one time now 
I'm gonna wait 'til the midnight hour 
That's when my love come tumbling down 
I'm gonna wait, way in the midnight hour 
That's when my love begin to shine, just you and I 
Oh, baby, huh, just you and I 
Nobody around, baby, just you and I 
Alright, you know what? 
I'm gonna hold you in my arms, just you and I 
Oh yeah, in the midnight hour 
Oh baby, in the midnight hour"
Solomon Burke,Everybody Needs Somebody to Love,1964,soul,"We're so glad to see so many of you lovely people here tonight 
And we would especially like to welcome all the 
Representatives of Illinois' law enforcement community 
Who have chosen to join us here in 
The Palace Hotel Ballroom at this time 
We do sincerely hope you'll all enjoy the show 
And please remember people, that no matter who you are 
And what you do to live, thrive and survive 
There are still some things that make us all the same 
You, me, them, everybody, everybody 
Everybody needs somebody 
Everybody needs somebody to love 
Someone to love (someone to love) 
Sweetheart to miss (sweetheart to miss) 
Sugar to kiss (sugar to kiss) 
I need you you you 
I need you you you 
I need you you you 
In the morning (I need you you you) 
When my soul's on fire (I need you you you) 
Sometimes I feel 
I feel a little sad inside 
When my baby mistreats me 
I never never never have a place to hide 
I need you 
Sometimes I feel 
I feel a little sad inside 
When my baby mistreats me 
I never never never have a place to hide 
I need you you you 
I need you you you 
I need you you you 
I need you you you 
I need you 
You know people when you do find somebody 
Hold that woman, hold that man 
Love him, please him, squeeze her, please her 
Hold, squeeze and please that person, give 'em all your love 
Signify your feelings with every gentle caress 
Because it's so important to have that special somebody 
To hold, kiss, miss, squeeze and please 
Everybody needs somebody 
Everybody needs somebody to love (everybody) 
Someone to love (needs somebody) 
Sweetheart to miss (everybody) 
Sugar to kiss (needs somebody) 
I need you you you 
I need you you you 
I need you you you 
I need you you you 
I need you you you (everybody) 
I need you you you (needs somebody) 
I need you you you (everybody) 
I need you you you (needs somebody) 
In the morning, when my soul's on fire (everybody needs somebody) 
Well there ain't no one around (everybody) 
I need you you you you (needs somebody) 
I need you you you you (everybody) 
I need you you you (needs somebody) 
I need you"
James Carr,The Dark End of the Street,1967,soul,"At the dark end of the street 
That's where we always meet 
Hiding in shadows where we don't belong 
Living in darkness to hide our wrong 
You and me 
At the dark end 
Of the street 
You and me 
I know time is gonna take its toll 
We have to pay for the love we stole 
It's a sin, and we know it's wrong 
Oh, but our love keeps coming on strong 
Steal away 
To the dark end 
Of the street 
They're gonna find us 
They're gonna find us 
They're gonna find us, Lord, someday 
You and me 
At the dark end 
Of the street 
You and me 
And when the daylight hours roll 'round 
And by chance we're both downtown 
If we should meet, just walk on by 
Oh, darling, please, don't cry 
Tonight, we'll meet 
At the dark end 
Of the street"
Otis Clay,Trying to Live My Life Without You,1972,soul,"All right, you guys feel funky tonight? 
Oh yeah, uh, oh yeah 
This is an old Memphis song, old Memphis song 
I used to smoke five packs of cigarettes a day 
It was the hardest thing to put them away 
I'd drink four or five bottles of wine 
I kept a glass in my hand all the time 
Breaking those habits was hard to do 
But nothing compared to the changes that you put me through 
Tryin' to live my life without you, babe 
It's the hardest thing I'll ever do 
Tryin' to forget the love we once shared, yeah 
It's the hardest burden I'll ever bear 
All right 
Watch this 
I had the worst reputation in town 
For chasing all the women around 
I thought changing my way of living was hard to do 
But it's nothing compared to the changes that you put me through 
I've done everything I've tried to do 
But it's gonna take a miracle to get me over you 
Tryin' to live my life without you, babe 
It's the hardest thing I'll ever do 
Tryin' to forget the love we once shared, yeah 
It's the hardest burden I'll ever bear 
Silver bullet 
Ooh, yeah 
Tryin' to live my life without you, babe 
It's the hardest thing I'll ever do 
Tryin' to forget the love we shared 
It's the hardest burden I'll ever bear 
Listen 
Tryin' to live my life without you, babe, oh 
Hardest thing I'll ever do 
Tryin' to forget the love we shared 
It's the hardest burden I'll ever bear 
Everybody 
Ooh, yeah 
Duet 
Tryin' to live my life without you, babe 
It's the hardest thing I'll ever do 
Tryin' to forget the love we shared 
It's the hardest burden I'll ever bear 
Alright 
Ooh, yeah"
Bettye LaVette,Let Me Down Easy,1962,soul,"There's a little moonlight dancin' on the sand 
There's a warm breeze blowin' by the ocean as you're takin' my hand 
You need to know, where I'm standin' now 
That I'm right on the edge of givin' into ya 
Baby, it's a long way down 
If I fall, can you let me down easy 
If I leave my heart with you tonight will you promise me that you're gonna treat it right 
I'm barely hangin' on 
If I fall, can you let me down easy 
The scent of your perfume floatin' in the air 
Lookin' like an angel layin' on a blanket with a halo of hair 
And those lips, they're too good to be true 
Once I taste that kiss I know what'll happen 
I'll be at the mercy of you 
If I fall, can you let me down easy 
If I leave my heart with you tonight will you promise me that you're gonna treat it right 
I'm barely hangin' on 
So if I fall, can you let me down easy 
If I fall, can you let me down easy 
If I leave my heart with you tonight will you promise me girl you're gonna treat it right 
I'm barely hangin' on 
If I fall, can you let me down easy 
If I fall 
Can you let me down easy 
Let me down easy 
Mmmhmmm"
Ann Peebles,I Can't Stand the Pain,1968,soul,"Can't stand the pain 
Can't stand the pain, anymore 
Can't stand the pain 
Can't stand the pain, anymore 

Well, I'm lookin' for you baby and I don't know why 
Everything about you makes me wanna cry 
I can't lose, I can't win, livin' in the middle once again 
Yeah, again and again 

Can't stand the pain 
Can't stand the pain, anymore 
Can't stand the pain 
Can't stand the pain, anymore 

Well, I'm dreamin' 'bout you baby, each and every day 
Try and wash my head out of the things you say 
I can't lose, you can't win, livin' in the middle once again 
Yeah, again and again 

Well, I'm lookin' for you baby and I don't know why 
Everything about you makes me wanna cry 
I can't lose, I can't win, livin' in the middle once again 

Can't stand the pain 
Can't stand the pain, anymore 
Can't stand the pain 
Can't stand the pain, anymore 

Can't stand the pain 
Can't stand the pain, anymore 
No more, yeah, yeah, yeah"
Carla Thomas,Gee Whiz (Look in His Eyes),1961,soul,"Gee whiz, look at his eyes 
Gee whiz, how they hypnotize 
He's got everything a girl could want 
Man, oh, man, what a prize 
Oh, oh 
Gee whiz, he's all the joy 
Gee whiz, I could find in a boy 
He's awful nice, it's paradise 
I hope I'm not his decoy (decoy) 
Heaven up above knows how much 
I love that fella's soul 
Angels sing of a love like this 
I hope our love will grow and grow 
'Cause, gee whiz, I love that guy 
Gee whiz, my, my, oh my 
There are things we could do 
I could say I love you 
But all I can say is 
Gee whiz"
Ruby & the Romantics,Our Day Will Come,1963,soul,"Our day will come 
And we'll have everything 
We'll share the joy 
Falling in love can bring 

No one can tell me 
That I'm too young to know (young to know) 
I love you so (love you so) 
And you love me 

Our day will come 
If we just wait a while 
No tears for us 
Think love and wear a smile 

Our dreams have magic 
Because we'll always stay 
In love this way 
Our day will come 
(Our day will come; our day will come) 

Our dreams have magic 
Because we'll always stay 
In love this way 
Our day will come 
Our day will come"
The Drifters,Under the Boardwalk,1964,soul,"Oh, when the sun beats down and burns the tar up on the roof 
And your shoes get so hot you wish your tired feet were fire proof 
Under the boardwalk, down by the sea, yeah 
On a blanket with my baby is where I'll be 
Out of the sun 
(Under the boardwalk) We'll be havin' some fun 
(Under the boardwalk) People walking above 
(Under the boardwalk) We'll be fallin' in love 
(Under the boardwalk) Yeah (boardwalk) 
From the park you hear the happy sound of the carousel 
You can almost taste the hot dogs and french fries they sell, yes you can 
Under the boardwalk, down by the sea, yeah 
On a blanket with my baby is where I'll be 
Out of the sun 
(Under the boardwalk) We'll be havin' some fun 
(Under the boardwalk) People walking above 
(Under the boardwalk) We'll be fallin' in love 
(Under the boardwalk) Yeah (boardwalk) 
Yeah, under the boardwalk, down by the sea, yeah 
On a blanket with my baby is where I'll be 
Out of the sun 
(Under the boardwalk) We'll be havin' some fun 
(Under the boardwalk) People walking above 
(Under the boardwalk) We'll be fallin' in love 
(Under the boardwalk) Yeah (boardwalk)"
The Platters,The Great Pretender,1955,soul,"Oh-oh, yes, I'm the great pretender 
Pretending that I'm doing well 
My need is such, I pretend too much 
I'm lonely, but no one can tell 
Oh-oh, yes, I'm the great pretender 
Adrift in a world of my own 
I played the game but to my real shame 
You've left me to grieve all alone 
Too real is this feeling of make-believe 
Too real when I feel what my heart can't conceal 
(Oh-oh-oh-oh-oh-oh-oh-oh-oh) 
Yes, I'm the great pretender 
Just laughin' and gay like a clown 
I seem to be what I'm not, you see 
I'm wearing my heart like a crown 
Pretending that you're still around 
Too real is this feeling of make-believe 
Too real when I feel what my heart can't conceal 
(Oh-oh-oh-oh-oh-oh-oh-oh-oh) 
Yes, I'm the great pretender 
Just laughin' and gay like a clown 
I seem to be what I'm not, you see 
I'm wearing my heart like a crown 
Pretending that you're still around 
(Still around)"
The Coasters,Yakety Yak,1958,soul,"Take out the papers and the trash 
Or you don't get no spendin' cash 
If you don't scrub that kitchen floor 
You ain't gonna rock and roll no more 
Yakety yak (don't talk back) 
Just finish cleanin' up your room 
Let's see that dust fly with that broom 
Get all that garbage out of sight 
Or you don't go out Friday night 
Yakety yak (don't talk back) 
You just put on your coat and hat 
And walk yourself to the laundromat 
And when you finish doin' that 
Bring in the dog and put out the cat 
Yakety yak (don't talk back) 
Don't you give me no dirty looks 
Your father's hip, he knows what cooks 
Just tell your hoodlum friend outside 
You ain't got time to take a ride 
Yakety yak (don't talk back) 
Yakety yak, yakety yak 
Yakety yak, yakety yak 
Yakety yak, yakety yak 
Yakety yak, yakety yak"
The Shirelles,Will You Love Me Tomorrow,1960,soul,"Tonight, you're mine completely
You give your love so sweetly
Tonight, the light of love is in your eyes
But will you love me tomorrow?
Is this a lasting treasure
Or just a moment's pleasure?
Can I believe the magic of your sighs?
Will you still love me tomorrow?
Tonight with words unspoken
You say that I'm the only one
But will my heart be broken
When the night (when the night)
Meets the mor- (meets the morning sun)
I'd like to know that your love
Is love I can be sure of
So tell me now, and I won't ask again
Will you still love me tomorrow?
So tell me now, and I won't ask again
Will you still love me tomorrow?
Will you still love me tomorrow?
Will you still love me-"
The Marvelettes,Please Mr. Postman,1961,soul,"Wait Mister Postman 
Oh yeah 
(Is there a letter in your bag for me) Please, Please Mister Postman 
(Why's it been a very long time) Oh yeah 
(Since I heard from this boyfriend of mine) 
There must be some word today 
From my boyfriend so far away 
Please Mister Postman, look and see 
Is there a letter, a letter for me 
I've been standin' here waitin' Mister Postman 
So patiently, for just a card, or just a letter 
Sayin' he's returnin' home to me 
Please Mister Postman (Mister Postman, look and see) Oh yeah 
(Is there a letter in your bag for me?) Please Please Mister Postman 
(Why's it been a very long time) Oh yeah 
(Since I heard from this boyfriend of mine) 
So many days you passed me by 
You saw the tears standin' in my eye 
You wouldn't stop to make me feel better 
By leavin' me a card or a letter 
Please Mister Postman look and see (Postman postman) 
Is there a letter oh yeah in your bag for me? (Postman postman) 
You know its been so long (Postman postman) 
Yes since I heard from this boyfriend of mine (Postman postman) 
You better wait a minute, wait a minute 
Oh you better wait a minute 
Please please Mister Postman (Wait a minute Mister Postman) 
Please check and see just one more time for me 
You better wait, wait a minute 
Wait a minute, wait a minute, wait a minute 
Please Mister Postman 
Deliver de letter the sooner de better 
Wait a minute, wait a minute 
Wait a minute, please Mister Postman 
Wait a minute, wait a minute oh oh"
The Ronettes,Be My Baby,1963,soul,"The night we met I knew I needed you so 
And if I had the chance I'd never let you go 
So won't you say you love me? 
I'll make you so proud of me 
We'll make 'em turn their heads every place we go 
So won't you, please (be my, be my baby) 
Be my little baby? (My one and only baby) 
Say you'll be my darlin' (be my, be my baby) 
Be my baby now (my one and only baby) 
Whoa-oh-oh-oh 
I'll make you happy, baby, just wait and see 
For every kiss you give me, I'll give you three 
Oh, since the day I saw you 
I have been waiting for you 
You know I will adore you 'til eternity 
So won't you, please (be my, be my baby) 
Be my little baby? (My one and only baby) 
Say you'll be my darlin' (be my, be my baby) 
Be my baby now (my one and only baby) 
Whoa-oh-oh-oh 
So come on and, please (be my, be my baby) 
Be my little baby? (My one and only baby) 
Say you'll be my darlin' (be my, be my baby) 
Be my baby now (my one and only baby) 
Whoa-oh-oh-oh 
Be my little baby? (My one and only baby) 
Oh-oh-oh (be my, be my baby) 
Oh (my one and only baby) 
Whoa-oh-oh-oh (be my, be my baby) 
Oh-oh-oh (My one and only baby) 
Oh (be my, be my baby)"
The Crystals,Then He Kissed Me,1962,soul,"Well, he walked up to me and he asked me if I wanted to dance
He looked kinda nice and so I said I might take a chance
When he danced he held me tight
And when he walked me home that night
All the stars were shining bright
And then he kissed me

Each time I saw him I couldn't wait to see him again
I wanted to let him know that he was more than a friend
I didn't know just what to do
So I whispered ""I love you""
And he said that he loved me too
And then he kissed me

He kissed me in a way that I've never been kissed before
He kissed me in a way that I wanna be kissed forever more

I knew that he was mine so I gave him all the love that I had
And one day he took me home to meet his mom and his dad
Then he asked me to be his bride
And always be right by his side
I felt so happy I almost cried
And then he kissed me

Then he asked me to be his bride
And always be right by his side
I felt so happy I almost cried
And then he kissed me
And then he kissed me
And then he kissed me"
